Date,Region,Product,Category,Quantity,Price,Sales Amount
2024-03-12,West,Tablet,Electronics,8,33927,271416
2024-03-27,West,Shirt,Clothing,10,22761,227610
2024-03-15,East,Desk,Furniture,3,17547,52641
2024-02-04,North,Tablet,Electronics,1,38109,38109
2024-06-13,East,Phone,Electronics,3,24041,72123
2024-02-11,South,Shirt,Clothing,9,44144,397296
2024-01-18,East,Jacket,Clothing,1,32013,32013
2024-04-19,East,Tablet,Electronics,6,22754,136524
2024-06-14,South,Jacket,Clothing,4,48719,194876
2024-05-09,South,Pants,Clothing,5,36468,182340
2024-03-01,South,Chair,Furniture,9,31306,281754
2024-01-12,East,Jacket,Clothing,6,8747,52482
2024-01-06,West,Chair,Furniture,10,18266,182660
2024-02-25,East,Jacket,Clothing,1,39442,39442
2024-04-07,West,Jacket,Clothing,7,39966,279762
2024-02-16,South,Tablet,Electronics,9,16994,152946
2024-03-25,West,Tablet,Electronics,8,49349,394792
2024-02-15,South,Chair,Furniture,10,25662,256620
2024-04-17,North,Phone,Electronics,6,12349,74094
2024-02-02,West,Laptop,Electronics,3,9359,28077
2024-01-07,North,Phone,Electronics,9,10129,91161
2024-05-03,West,Tablet,Electronics,7,8338,58366
2024-04-28,East,Pants,Clothing,1,41870,41870
2024-03-17,North,Shirt,Clothing,1,11020,11020
2024-03-01,North,Laptop,Electronics,4,43301,173204
2024-06-15,West,Shirt,Clothing,10,47629,476290
2024-03-14,East,Shirt,Clothing,3,9213,27639
2024-01-19,East,Couch,Furniture,8,26429,211432
2024-02-10,North,Tablet,Electronics,1,30633,30633
2024-06-28,East,Jacket,Clothing,6,36825,220950
2024-03-03,West,Desk,Furniture,5,44498,222490
2024-06-15,East,Phone,Electronics,1,27261,27261
2024-06-08,North,Desk,Furniture,2,11575,23150
2024-03-17,North,Jacket,Clothing,5,45144,225720
2024-03-14,North,Phone,Electronics,4,5890,23560
2024-05-26,South,Jacket,Clothing,8,33567,268536
2024-03-28,West,Shirt,Clothing,4,33772,135088
2024-02-17,West,Phone,Electronics,6,13787,82722
2024-05-11,East,Chair,Furniture,2,10389,20778
2024-05-11,North,Jacket,Clothing,8,8483,67864
2024-03-27,East,Jacket,Clothing,8,10792,86336
2024-05-08,South,Pants,Clothing,2,40141,80282
2024-02-14,West,Shirt,Clothing,1,15119,15119
2024-06-11,West,Laptop,Electronics,1,27280,27280
2024-01-03,North,Tablet,Electronics,3,28345,85035
2024-03-13,West,Shirt,Clothing,6,29917,179502
2024-05-09,East,Shirt,Clothing,2,5364,10728
2024-02-24,South,Jacket,Clothing,7,30660,214620
2024-03-20,West,Pants,Clothing,1,45397,45397
2024-02-10,West,Couch,Furniture,5,1904,9520
2024-04-05,North,Desk,Furniture,7,10940,76580
2024-03-09,North,Couch,Furniture,5,8953,44765
2024-03-05,West,Tablet,Electronics,7,22788,159516
2024-01-29,South,Chair,Furniture,9,33394,300546
2024-03-01,West,Tablet,Electronics,2,10801,21602
2024-06-07,West,Couch,Furniture,4,26080,104320
2024-04-23,North,Laptop,Electronics,2,4245,8490
2024-06-10,East,Couch,Furniture,5,31963,159815
2024-05-18,North,Tablet,Electronics,7,14365,100555
2024-04-24,East,Chair,Furniture,7,25441,178087
2024-03-03,North,Pants,Clothing,8,39869,318952
2024-03-19,South,Jacket,Clothing,4,33355,133420
2024-03-27,East,Pants,Clothing,6,44130,264780
2024-01-30,East,Pants,Clothing,3,39047,117141
2024-06-06,East,Couch,Furniture,5,40322,201610
2024-06-25,East,Pants,Clothing,9,42252,380268
2024-05-07,South,Pants,Clothing,2,4772,9544
2024-01-31,North,Couch,Furniture,4,28237,112948
2024-01-21,South,Laptop,Electronics,4,26955,107820
2024-04-26,West,Tablet,Electronics,4,536,2144
2024-02-21,East,Phone,Electronics,4,23159,92636
2024-03-07,South,Laptop,Electronics,7,28678,200746
2024-04-18,South,Laptop,Electronics,4,18237,72948
2024-04-22,West,Couch,Furniture,3,12552,37656
2024-04-04,North,Laptop,Electronics,8,13424,107392
2024-01-18,East,Tablet,Electronics,2,18031,36062
2024-04-18,North,Couch,Furniture,2,44545,89090
2024-01-12,North,Laptop,Electronics,9,48646,437814
2024-06-23,North,Couch,Furniture,3,44064,132192
2024-04-07,East,Shirt,Clothing,1,39664,39664
2024-03-06,South,Phone,Electronics,5,35792,178960
2024-03-27,West,Phone,Electronics,5,21349,106745
2024-03-02,East,Pants,Clothing,4,13940,55760
2024-03-14,West,Jacket,Clothing,4,540,2160
2024-06-28,South,Phone,Electronics,4,27460,109840
2024-02-27,North,Shirt,Clothing,2,44398,88796
2024-03-09,North,Shirt,Clothing,10,41488,414880
2024-01-14,East,Tablet,Electronics,1,17455,17455
2024-01-12,South,Shirt,Clothing,3,33558,100674
2024-06-17,South,Tablet,Electronics,6,32433,194598
2024-01-10,East,Desk,Furniture,9,46259,416331
2024-01-17,West,Couch,Furniture,5,31364,156820
2024-01-18,North,Shirt,Clothing,2,48636,97272
2024-01-23,West,Jacket,Clothing,1,14180,14180
2024-01-29,South,Laptop,Electronics,7,31093,217651
2024-02-01,North,Couch,Furniture,3,28096,84288
2024-04-02,South,Jacket,Clothing,3,6465,19395
2024-01-03,North,Laptop,Electronics,1,43570,43570
2024-06-07,East,Pants,Clothing,10,10601,106010
2024-03-19,East,Chair,Furniture,1,26649,26649
2024-05-03,East,Desk,Furniture,1,36836,36836
2024-01-17,West,Couch,Furniture,6,3436,20616
2024-02-05,East,Couch,Furniture,6,34826,208956
2024-02-03,North,Phone,Electronics,3,21839,65517
2024-04-22,West,Desk,Furniture,3,34886,104658
2024-03-09,South,Chair,Furniture,2,7060,14120
2024-02-01,West,Shirt,Clothing,6,20342,122052
2024-04-18,West,Tablet,Electronics,7,35711,249977
2024-03-07,South,Shirt,Clothing,2,42631,85262
2024-03-21,North,Pants,Clothing,5,7439,37195
2024-05-19,East,Phone,Electronics,7,48936,342552
2024-03-22,West,Chair,Furniture,5,27908,139540
2024-02-10,South,Tablet,Electronics,2,17573,35146
2024-04-25,West,Shirt,Clothing,6,9058,54348
2024-04-06,West,Couch,Furniture,8,28720,229760
2024-06-10,West,Shirt,Clothing,1,28410,28410
2024-06-19,South,Phone,Electronics,1,29939,29939
2024-01-18,North,Laptop,Electronics,2,17554,35108
2024-02-23,West,Phone,Electronics,7,37621,263347
2024-02-01,East,Chair,Furniture,5,24524,122620
2024-05-07,South,Desk,Furniture,4,22894,91576
2024-02-09,South,Jacket,Clothing,10,4419,44190
2024-04-07,East,Tablet,Electronics,4,35205,140820
2024-04-18,North,Couch,Furniture,10,24263,242630
2024-04-04,South,Chair,Furniture,8,9547,76376
2024-04-07,West,Pants,Clothing,4,7437,29748
2024-05-11,South,Jacket,Clothing,10,34358,343580
2024-06-18,East,Shirt,Clothing,2,21055,42110
2024-04-28,East,Pants,Clothing,9,22070,198630
2024-04-30,West,Jacket,Clothing,9,31865,286785
2024-01-17,West,Couch,Furniture,3,26217,78651
2024-06-28,North,Jacket,Clothing,2,42557,85114
2024-05-11,South,Tablet,Electronics,4,29280,117120
2024-01-01,East,Shirt,Clothing,1,17967,17967
2024-01-05,North,Chair,Furniture,1,10048,10048
2024-01-08,South,Desk,Furniture,5,49666,248330
2024-04-03,West,Pants,Clothing,5,46008,230040
2024-01-24,South,Laptop,Electronics,8,44118,352944
2024-02-25,North,Chair,Furniture,5,2511,12555
2024-04-08,East,Phone,Electronics,6,10553,63318
2024-05-31,South,Desk,Furniture,7,20453,143171
2024-02-26,West,Couch,Furniture,8,17539,140312
2024-05-05,South,Desk,Furniture,2,28125,56250
2024-05-19,West,Couch,Furniture,5,20399,101995
2024-04-12,East,Laptop,Electronics,4,44601,178404
2024-04-18,South,Chair,Furniture,3,40093,120279
2024-05-23,West,Laptop,Electronics,9,16818,151362
2024-04-10,South,Tablet,Electronics,8,7600,60800
2024-01-08,West,Desk,Furniture,6,6872,41232
2024-04-02,South,Desk,Furniture,3,41864,125592
2024-05-07,South,Desk,Furniture,8,8728,69824
2024-06-09,South,Tablet,Electronics,1,12234,12234
2024-05-28,North,Phone,Electronics,3,43490,130470
2024-05-31,West,Jacket,Clothing,9,15387,138483
2024-04-04,South,Shirt,Clothing,9,31721,285489
2024-02-16,North,Shirt,Clothing,9,7062,63558
2024-03-21,West,Shirt,Clothing,6,3994,23964
2024-06-13,West,Chair,Furniture,6,35536,213216
2024-02-04,East,Tablet,Electronics,6,27533,165198
2024-05-25,North,Tablet,Electronics,1,33804,33804
2024-03-28,East,Chair,Furniture,8,20076,160608
2024-03-18,South,Laptop,Electronics,1,11738,11738
2024-03-04,North,Laptop,Electronics,1,22839,22839
2024-02-14,North,Chair,Furniture,1,18456,18456
2024-05-08,North,Chair,Furniture,9,43835,394515
2024-06-08,East,Desk,Furniture,8,40293,322344
2024-04-07,East,Pants,Clothing,6,22130,132780
2024-06-25,East,Pants,Clothing,5,9615,48075
2024-05-15,South,Pants,Clothing,3,45326,135978
2024-04-30,North,Jacket,Clothing,5,36926,184630
2024-05-06,West,Tablet,Electronics,5,46015,230075
2024-01-11,East,Tablet,Electronics,6,10436,62616
2024-05-21,West,Chair,Furniture,6,40414,242484
2024-05-23,North,Phone,Electronics,9,21779,196011
2024-05-24,West,Laptop,Electronics,10,21366,213660
2024-03-31,South,Shirt,Clothing,10,12482,124820
2024-02-28,North,Couch,Furniture,5,23014,115070
2024-06-08,East,Laptop,Electronics,3,35418,106254
2024-03-07,South,Jacket,Clothing,10,20695,206950
2024-05-27,South,Phone,Electronics,8,20628,165024
2024-05-07,West,Phone,Electronics,7,15231,106617
2024-06-06,West,Laptop,Electronics,9,48119,433071
2024-01-03,East,Pants,Clothing,8,40147,321176
2024-03-14,East,Jacket,Clothing,1,17843,17843
2024-05-02,West,Jacket,Clothing,5,26955,134775
2024-02-04,East,Shirt,Clothing,1,13782,13782
2024-05-21,North,Tablet,Electronics,5,17046,85230
2024-06-26,North,Couch,Furniture,9,41577,374193
2024-06-10,East,Tablet,Electronics,2,29944,59888
2024-01-19,East,Laptop,Electronics,8,29471,235768
2024-06-07,North,Jacket,Clothing,7,2629,18403
2024-06-01,South,Tablet,Electronics,8,32582,260656
2024-03-22,North,Chair,Furniture,8,13199,105592
2024-05-03,West,Shirt,Clothing,2,42863,85726
2024-01-21,East,Pants,Clothing,2,29463,58926
2024-06-04,North,Laptop,Electronics,3,37037,111111
2024-01-06,West,Shirt,Clothing,8,22572,180576
2024-02-09,West,Couch,Furniture,9,24513,220617
2024-01-17,West,Jacket,Clothing,1,23015,23015
2024-06-17,West,Couch,Furniture,6,13139,78834
2024-06-06,West,Laptop,Electronics,3,30050,90150
2024-05-28,East,Desk,Furniture,7,24832,173824
2024-06-15,East,Chair,Furniture,6,11829,70974
2024-05-19,North,Tablet,Electronics,2,46990,93980
2024-01-08,South,Couch,Furniture,8,16381,131048
2024-04-07,North,Tablet,Electronics,8,17599,140792
2024-02-18,South,Phone,Electronics,7,24653,172571
2024-03-20,North,Tablet,Electronics,8,10997,87976
2024-06-27,West,Pants,Clothing,3,4355,13065
2024-01-10,South,Laptop,Electronics,7,20286,142002
2024-03-06,South,Couch,Furniture,9,18486,166374
2024-01-19,East,Couch,Furniture,4,45460,181840
2024-04-08,East,Phone,Electronics,2,42457,84914
2024-03-29,North,Shirt,Clothing,9,47917,431253
2024-02-22,South,Couch,Furniture,3,9029,27087
2024-05-22,North,Shirt,Clothing,2,41108,82216
2024-04-03,East,Shirt,Clothing,1,3810,3810
2024-05-26,East,Desk,Furniture,3,11209,33627
2024-06-14,South,Pants,Clothing,4,41164,164656
2024-03-10,North,Tablet,Electronics,10,18890,188900
2024-05-18,West,Laptop,Electronics,10,6587,65870
2024-01-23,West,Chair,Furniture,5,20466,102330
2024-04-07,East,Couch,Furniture,2,22064,44128
2024-06-14,North,Desk,Furniture,7,38631,270417
2024-02-29,West,Jacket,Clothing,6,30861,185166
2024-04-25,South,Pants,Clothing,4,2702,10808
2024-04-21,South,Jacket,Clothing,3,38223,114669
2024-04-19,North,Pants,Clothing,5,13609,68045
2024-04-04,East,Phone,Electronics,6,8033,48198
2024-03-19,East,Laptop,Electronics,7,39053,273371
2024-03-25,South,Laptop,Electronics,10,34623,346230
2024-04-01,North,Phone,Electronics,7,18939,132573
2024-02-16,West,Couch,Furniture,1,15951,15951
2024-02-13,West,Phone,Electronics,1,29746,29746
2024-03-20,East,Jacket,Clothing,9,45842,412578
2024-02-18,North,Couch,Furniture,9,12761,114849
2024-01-15,East,Desk,Furniture,6,31710,190260
2024-02-19,North,Jacket,Clothing,4,33324,133296
2024-04-18,West,Desk,Furniture,7,26011,182077
2024-01-24,West,Pants,Clothing,7,40387,282709
2024-04-11,West,Laptop,Electronics,1,35738,35738
2024-06-13,East,Couch,Furniture,9,28790,259110
2024-06-16,North,Chair,Furniture,4,30390,121560
2024-04-29,West,Chair,Furniture,5,27339,136695
2024-05-21,West,Laptop,Electronics,1,23050,23050
2024-05-29,West,Couch,Furniture,1,30846,30846
2024-02-08,North,Jacket,Clothing,10,9986,99860
2024-01-16,East,Phone,Electronics,8,20231,161848
2024-02-08,North,Phone,Electronics,9,27119,244071
2024-01-23,West,Shirt,Clothing,3,12001,36003
2024-03-30,North,Chair,Furniture,2,6347,12694
2024-03-08,East,Phone,Electronics,4,24275,97100
2024-02-10,South,Chair,Furniture,5,4952,24760
2024-04-30,West,Tablet,Electronics,5,23528,117640
2024-04-23,South,Shirt,Clothing,4,32815,131260
2024-03-22,East,Pants,Clothing,8,47908,383264
2024-05-30,East,Pants,Clothing,3,41124,123372
2024-04-18,South,Phone,Electronics,10,14607,146070
2024-01-02,West,Jacket,Clothing,9,13430,120870
2024-05-01,North,Jacket,Clothing,9,6924,62316
2024-03-26,South,Phone,Electronics,4,36210,144840
2024-05-19,North,Pants,Clothing,9,21035,189315
2024-03-11,East,Shirt,Clothing,8,32537,260296
2024-03-21,North,Laptop,Electronics,7,8861,62027
2024-05-16,West,Jacket,Clothing,2,11103,22206
2024-06-10,North,Phone,Electronics,1,1261,1261
2024-06-28,South,Chair,Furniture,8,36535,292280
2024-05-31,South,Tablet,Electronics,2,29865,59730
2024-01-16,West,Desk,Furniture,9,1061,9549
2024-02-19,East,Tablet,Electronics,9,40308,362772
2024-02-19,East,Couch,Furniture,9,36507,328563
2024-04-14,West,Laptop,Electronics,9,6300,56700
2024-05-01,South,Jacket,Clothing,8,8595,68760
2024-02-09,South,Pants,Clothing,7,47160,330120
2024-02-05,East,Couch,Furniture,6,27098,162588
2024-03-12,North,Jacket,Clothing,10,43713,437130
2024-06-23,West,Shirt,Clothing,2,11152,22304
2024-06-16,North,Tablet,Electronics,8,39698,317584
2024-03-15,East,Desk,Furniture,6,1759,10554
2024-06-14,South,Desk,Furniture,6,6368,38208
2024-05-09,East,Phone,Electronics,10,46584,465840
2024-06-26,West,Couch,Furniture,2,24296,48592
2024-03-28,North,Couch,Furniture,10,37895,378950
2024-03-31,South,Shirt,Clothing,4,6469,25876
2024-02-05,North,Chair,Furniture,1,44398,44398
2024-02-02,West,Tablet,Electronics,1,9914,9914
2024-04-20,North,Shirt,Clothing,5,2616,13080
2024-04-27,East,Desk,Furniture,2,4041,8082
2024-02-21,South,Chair,Furniture,1,43081,43081
2024-03-01,North,Chair,Furniture,9,1394,12546
2024-02-14,West,Chair,Furniture,8,17039,136312
2024-02-16,South,Desk,Furniture,7,5678,39746
2024-05-03,North,Laptop,Electronics,2,1474,2948
2024-04-26,North,Shirt,Clothing,7,31921,223447
2024-03-26,West,Pants,Clothing,4,13932,55728
2024-04-22,East,Laptop,Electronics,2,27354,54708
2024-03-30,West,Phone,Electronics,2,29297,58594
2024-02-08,West,Phone,Electronics,5,27221,136105
2024-04-30,North,Desk,Furniture,1,22503,22503
2024-05-17,South,Laptop,Electronics,5,45295,226475
2024-06-05,East,Desk,Furniture,10,23368,233680
2024-06-23,North,Phone,Electronics,4,24750,99000
2024-02-05,South,Tablet,Electronics,3,47952,143856
2024-03-23,North,Desk,Furniture,5,34729,173645
2024-01-19,West,Laptop,Electronics,6,34465,206790
2024-03-24,South,Shirt,Clothing,2,23485,46970
2024-04-26,North,Phone,Electronics,6,3017,18102
2024-06-27,East,Shirt,Clothing,1,37300,37300
2024-06-10,North,Couch,Furniture,5,4195,20975
2024-05-28,West,Tablet,Electronics,2,36670,73340
2024-03-10,West,Desk,Furniture,8,21301,170408
2024-02-05,South,Chair,Furniture,4,43686,174744
2024-03-25,East,Desk,Furniture,7,44409,310863
2024-04-27,North,Phone,Electronics,7,22009,154063
2024-01-10,East,Tablet,Electronics,8,1930,15440
2024-06-11,East,Phone,Electronics,5,46208,231040
2024-01-17,West,Desk,Furniture,4,23325,93300
2024-03-11,West,Chair,Furniture,5,15982,79910
2024-02-08,East,Desk,Furniture,1,15062,15062
2024-04-28,South,Tablet,Electronics,7,1236,8652
2024-01-23,South,Desk,Furniture,5,25050,125250
2024-05-01,South,Laptop,Electronics,8,28126,225008
2024-04-21,North,Phone,Electronics,7,32234,225638
2024-06-02,East,Phone,Electronics,2,36177,72354
2024-01-20,North,Phone,Electronics,9,34372,309348
2024-03-12,North,Tablet,Electronics,10,11862,118620
2024-03-18,North,Jacket,Clothing,10,28626,286260
2024-03-16,East,Pants,Clothing,8,37762,302096
2024-06-17,North,Shirt,Clothing,3,5024,15072
2024-06-27,North,Tablet,Electronics,8,16433,131464
2024-05-13,East,Tablet,Electronics,1,17027,17027
2024-06-19,North,Desk,Furniture,4,9216,36864
2024-03-24,South,Desk,Furniture,4,5207,20828
2024-01-20,West,Chair,Furniture,9,3050,27450
2024-03-28,South,Phone,Electronics,8,8386,67088
2024-04-20,South,Couch,Furniture,4,20038,80152
2024-01-08,South,Desk,Furniture,8,29886,239088
2024-06-25,South,Chair,Furniture,8,40006,320048
2024-05-14,North,Desk,Furniture,3,33778,101334
2024-06-21,East,Desk,Furniture,7,7939,55573
2024-02-02,North,Couch,Furniture,3,3114,9342
2024-03-17,West,Desk,Furniture,10,49979,499790
2024-06-24,North,Jacket,Clothing,1,44525,44525
2024-02-24,North,Pants,Clothing,1,46127,46127
2024-03-22,East,Jacket,Clothing,2,45713,91426
2024-03-25,West,Pants,Clothing,10,3496,34960
2024-02-26,North,Phone,Electronics,2,35420,70840
2024-06-22,South,Laptop,Electronics,9,32075,288675
2024-03-31,East,Pants,Clothing,3,4721,14163
2024-01-11,West,Pants,Clothing,8,24866,198928
2024-02-08,North,Pants,Clothing,6,41647,249882
2024-04-08,South,Tablet,Electronics,5,12700,63500
2024-02-27,North,Desk,Furniture,3,31244,93732
2024-01-27,West,Pants,Clothing,2,49948,99896
2024-06-22,West,Tablet,Electronics,4,38701,154804
2024-01-04,East,Chair,Furniture,10,3276,32760
2024-04-10,East,Jacket,Clothing,2,33491,66982
2024-04-24,West,Shirt,Clothing,10,18911,189110
2024-06-17,South,Jacket,Clothing,1,28745,28745
2024-06-07,West,Chair,Furniture,3,3327,9981
2024-02-11,South,Shirt,Clothing,6,49336,296016
2024-05-21,West,Couch,Furniture,3,41206,123618
2024-06-21,East,Tablet,Electronics,9,36915,332235
2024-06-21,West,Laptop,Electronics,7,42147,295029
2024-03-24,West,Phone,Electronics,4,24115,96460
2024-02-19,South,Laptop,Electronics,8,32485,259880
2024-01-01,East,Shirt,Clothing,8,26990,215920
2024-02-29,South,Shirt,Clothing,6,11119,66714
2024-01-04,North,Tablet,Electronics,6,9209,55254
2024-05-07,West,Jacket,Clothing,7,37138,259966
2024-04-23,West,Chair,Furniture,8,36403,291224
2024-06-29,South,Pants,Clothing,10,14267,142670
2024-04-30,East,Jacket,Clothing,1,16065,16065
2024-02-25,North,Desk,Furniture,6,16774,100644
2024-06-20,West,Couch,Furniture,2,3287,6574
2024-04-09,South,Couch,Furniture,9,31239,281151
2024-03-14,West,Tablet,Electronics,5,21206,106030
2024-01-20,West,Couch,Furniture,8,41456,331648
2024-05-20,East,Phone,Electronics,3,8999,26997
2024-04-23,North,Phone,Electronics,10,28776,287760
2024-02-21,East,Chair,Furniture,5,17335,86675
2024-03-27,South,Shirt,Clothing,10,2461,24610
2024-06-23,South,Phone,Electronics,2,9285,18570
2024-04-16,South,Desk,Furniture,5,1763,8815
2024-01-27,North,Laptop,Electronics,2,19064,38128
2024-04-11,North,Laptop,Electronics,1,14974,14974
2024-01-20,East,Desk,Furniture,7,43176,302232
2024-06-15,North,Couch,Furniture,7,39469,276283
2024-01-08,West,Couch,Furniture,6,32735,196410
2024-05-23,North,Chair,Furniture,2,49082,98164
2024-06-20,West,Pants,Clothing,6,20443,122658
2024-04-28,West,Shirt,Clothing,7,49696,347872
2024-05-24,West,Jacket,Clothing,1,43237,43237
2024-04-06,West,Couch,Furniture,2,21812,43624
2024-03-14,East,Laptop,Electronics,9,18017,162153
2024-02-23,South,Tablet,Electronics,5,43229,216145
2024-05-30,South,Jacket,Clothing,10,37614,376140
2024-01-24,South,Pants,Clothing,1,43931,43931
2024-03-14,North,Desk,Furniture,7,1292,9044
2024-06-06,East,Couch,Furniture,4,46822,187288
2024-02-10,South,Laptop,Electronics,5,13871,69355
2024-03-03,South,Pants,Clothing,10,841,8410
2024-01-12,South,Desk,Furniture,4,25133,100532
2024-03-22,East,Chair,Furniture,6,1036,6216
2024-06-25,West,Chair,Furniture,10,47293,472930
2024-06-02,South,Phone,Electronics,1,8640,8640
2024-01-24,West,Jacket,Clothing,8,10339,82712
2024-04-30,West,Shirt,Clothing,9,38898,350082
2024-02-13,North,Desk,Furniture,9,46485,418365
2024-01-30,West,Chair,Furniture,7,35896,251272
2024-03-23,East,Chair,Furniture,4,9705,38820
2024-06-15,East,Desk,Furniture,8,24599,196792
2024-06-03,East,Pants,Clothing,9,17277,155493
2024-01-31,West,Laptop,Electronics,3,31006,93018
2024-04-26,East,Desk,Furniture,3,44143,132429
2024-01-17,East,Laptop,Electronics,9,17774,159966
2024-05-02,North,Desk,Furniture,7,10952,76664
2024-05-23,East,Couch,Furniture,5,36021,180105
2024-04-16,North,Jacket,Clothing,10,29955,299550
2024-05-20,East,Desk,Furniture,3,5059,15177
2024-03-24,West,Phone,Electronics,5,32893,164465
2024-05-26,North,Jacket,Clothing,6,36870,221220
2024-06-05,East,Shirt,Clothing,4,38123,152492
2024-06-16,North,Chair,Furniture,1,5473,5473
2024-06-28,South,Chair,Furniture,3,46234,138702
2024-01-27,East,Desk,Furniture,7,11140,77980
2024-01-24,South,Jacket,Clothing,6,30348,182088
2024-04-14,East,Pants,Clothing,6,29338,176028
2024-02-14,North,Jacket,Clothing,2,539,1078
